k_index,band_index,k_distance,energy_eV,weight
66,1,2.52599094,-5.826264,2.15569343e-05
67,1,2.59042394,-5.459647,2.07064992e-05
68,1,2.65485693,-5.066690,1.97900951e-05
69,1,2.71928993,-4.648299,1.88115081e-05
70,1,2.78372276,-4.205520,1.77733690e-05
71,1,2.84815576,-3.739690,1.66796770e-05
72,1,2.91258876,-3.252868,1.55349177e-05
73,1,2.97702175,-2.748308,1.43557066e-05
74,1,3.04145475,-2.230417,1.31363740e-05
75,1,3.10588775,-1.707984,1.19064743e-05
76,1,3.17032058,-1.196202,1.07121324e-05
77,1,3.23475363,-0.726540,9.63551561e-06
78,1,3.29918661,-0.364477,8.84034036e-06
79,1,3.36361957,-0.221237,2.35943212e-07
80,1,3.36361957,-0.221237,2.35926735e-07
81,1,3.41622887,-0.329993,5.14704713e-07
82,1,3.46883817,-0.619918,1.62870447e-06
83,1,3.52144747,-1.018698,3.79850153e-06
84,1,3.57405686,-1.474774,6.90132962e-06
85,1,3.62666598,-1.958536,1.07145074e-05
86,1,3.67927530,-2.454449,1.50431070e-05
87,1,3.73188462,-2.952316,1.97422910e-05
88,1,3.78449394,-3.445848,2.47130916e-05
89,1,3.83710326,-3.930558,2.98950861e-05
90,1,3.88971258,-4.402823,3.52617597e-05
91,1,3.94232191,-4.859400,4.08190492e-05
92,1,3.99493123,-5.296989,4.66033707e-05
93,1,4.04754055,-5.711758,5.26916609e-05
94,1,4.10014987,-6.098368,5.91628066e-05
95,1,4.15275899,-6.449798,6.60703068e-05
96,1,4.20536831,-6.755259,7.33460269e-05
97,1,4.25797763,-6.998913,8.04847498e-05
98,1,4.31058696,-7.159679,8.61693956e-05
99,1,4.36319628,-7.216452,8.84220597e-05
0,2,0.00000000,-0.221237,1.79491925e-05
1,2,0.06074799,-0.273253,3.78895528e-03
2,2,0.12149598,-0.417348,1.22357599e-02
3,2,0.18224397,-0.620436,2.07307199e-02
4,2,0.24299205,-0.854281,2.70007104e-02
5,2,0.30373983,-1.099562,3.06983833e-02
6,2,0.36448784,-1.345517,3.21293522e-02
7,2,0.42523585,-1.584481,3.17817890e-02
8,2,0.48598386,-1.811733,3.00954482e-02
9,2,0.54673188,-2.024671,2.74262518e-02
10,2,0.60747989,-2.220993,2.40988523e-02
11,2,0.66822790,-2.399222,2.03862361e-02
12,2,0.72897591,-2.558338,1.65281324e-02
13,2,0.78972392,-2.697456,1.27381632e-02
14,2,0.85047193,-2.816014,9.20183866e-03
15,2,0.91121971,-2.913496,6.08173184e-03
16,2,0.97196773,-2.989660,3.51054470e-03
17,2,1.03271574,-3.044267,1.59481930e-03
18,2,1.09346375,-3.077078,4.13712719e-04
19,2,1.15421176,-3.088023,1.47080362e-05
20,2,1.15421176,-3.088023,1.47085143e-05
21,2,1.18458576,-3.097704,1.65128772e-03
22,2,1.21495976,-3.126067,6.34224099e-03
23,2,1.24533376,-3.171205,1.35123526e-02
24,2,1.27570776,-3.230427,2.23915633e-02
25,2,1.30608176,-3.300545,3.22285475e-02
26,2,1.33645576,-3.378349,4.23884154e-02
27,2,1.36682976,-3.460868,5.23696606e-02
28,2,1.39720381,-3.545310,6.18921095e-02
29,2,1.42757781,-3.629326,7.07414567e-02
30,2,1.45795159,-3.710912,7.87628948e-02
31,2,1.48832560,-3.788257,8.58993343e-02
32,2,1.51869960,-3.859926,9.20594601e-02
33,2,1.54907361,-3.924565,9.72484942e-02
34,2,1.57944761,-3.981093,1.01412061e-01
35,2,1.60982162,-4.028638,1.04517433e-01
36,2,1.64019563,-4.066409,1.06535699e-01
37,2,1.67056963,-4.093817,1.07461188e-01
38,2,1.70094364,-4.110419,1.07333383e-01
39,2,1.73131764,-4.115971,1.06064492e-01
40,2,1.73131764,-4.115971,1.06064634e-01
41,2,1.75279515,-4.160922,2.22253399e-03
42,2,1.77427297,-4.203776,2.07373170e-03
43,2,1.79575048,-4.244477,1.91492469e-03
44,2,1.81722830,-4.282950,1.74903887e-03
45,2,1.83870581,-4.319157,1.57888722e-03
46,2,1.86018364,-4.353049,1.40722192e-03
47,2,1.88166114,-4.384584,1.23671358e-03
48,2,1.90313897,-4.413723,1.06982942e-03
49,2,1.92461647,-4.440438,9.09080035e-04
50,2,1.94609430,-4.464692,7.56847356e-04
51,2,1.96757180,-4.486462,6.14722327e-04
52,2,1.98904963,-4.505724,4.84809652e-04
53,2,2.01052713,-4.522484,3.68992920e-04
54,2,2.03200496,-4.536669,2.68271758e-04
55,2,2.05348246,-4.548295,1.84139069e-04
56,2,2.07496029,-4.557325,1.17696184e-04
57,2,2.09643779,-4.563799,6.95602587e-05
58,2,2.11791562,-4.567686,4.04077695e-05
59,2,2.13939312,-4.568962,3.05820627e-05
60,2,2.13939312,-4.568962,3.05820651e-05
61,2,2.20382612,-4.667231,2.81513847e-05
62,2,2.26825912,-4.683691,2.54198855e-05
63,2,2.33269211,-4.625347,2.26472511e-05
64,2,2.39712495,-4.502100,1.99793505e-05
65,2,2.46155794,-4.323677,1.74786379e-05
66,2,2.52599094,-4.098907,1.51124099e-05
67,2,2.59042394,-3.834999,1.28320517e-05
68,2,2.65485693,-3.537912,1.05950878e-05
69,2,2.71928993,-3.213237,8.37578231e-06
70,2,2.78372276,-2.866140,6.18477691e-06
71,2,2.84815576,-2.501942,4.08376026e-06
72,2,2.91258876,-2.126895,2.20041847e-06
73,2,2.97702175,-1.748566,7.52867877e-07
74,2,3.04145475,-1.376798,6.54279314e-08
75,2,3.10588775,-1.024255,5.38422179e-07
76,2,3.17032058,-0.708614,2.50689885e-06
77,2,3.23475363,-0.451775,5.82054457e-06
78,2,3.29918661,-0.280740,9.29700904e-06
79,2,3.36361957,-0.221237,1.03698346e-05
80,2,3.36361957,-0.221237,8.51510218e-06
81,2,3.41622887,-0.236100,7.62853332e-03
82,2,3.46883817,-0.282174,4.31486099e-02
83,2,3.52144747,-0.352540,5.24890848e-02
84,2,3.57405686,-0.440122,6.80971737e-02
85,2,3.62666598,-0.538050,1.24473628e-01
86,2,3.67927530,-0.640874,1.86233533e-01
87,2,3.73188462,-0.744147,5.67884466e-02
88,2,3.78449394,-0.844362,1.15581219e-01
89,2,3.83710326,-0.939896,4.16566120e-01
90,2,3.88971258,-1.028758,3.85653974e-01
91,2,3.94232191,-1.109818,4.82286473e-01
92,2,3.99493123,-1.182323,3.80725452e-01
93,2,4.04754055,-1.245711,2.32689760e-01
94,2,4.10014987,-1.299418,4.50006635e-01
95,2,4.15275899,-1.343739,2.12206476e-01
96,2,4.20536831,-1.378237,3.25128626e-01
97,2,4.25797763,-1.402944,2.97284044e-01
98,2,4.31058696,-1.417777,4.60897192e-01
99,2,4.36319628,-1.422833,7.05199242e-01
0,3,0.00000000,-0.221237,7.67933988e-06
1,3,0.06074799,-0.273253,7.69282559e-03
2,3,0.12149598,-0.417348,2.61480818e-02
3,3,0.18224397,-0.620436,4.79510220e-02
4,3,0.24299205,-0.854280,6.89727824e-02
5,3,0.30373983,-1.099562,8.80166809e-02
6,3,0.36448784,-1.345517,1.04967866e-01
7,3,0.42523585,-1.584481,1.20093044e-01
8,3,0.48598386,-1.811733,1.33650323e-01
9,3,0.54673188,-2.024671,1.45794442e-01
10,3,0.60747989,-2.220993,1.56667119e-01
11,3,0.66822790,-2.399221,1.66346898e-01
12,3,0.72897591,-2.558338,1.74872986e-01
13,3,0.78972392,-2.697456,1.82273514e-01
14,3,0.85047193,-2.816014,1.88550741e-01
15,3,0.91121971,-2.913496,1.93711237e-01
16,3,0.97196773,-2.989660,1.97733256e-01
17,3,1.03271574,-3.044267,2.00609753e-01
18,3,1.09346375,-3.077077,2.02339610e-01
19,3,1.15421176,-3.088023,2.02916823e-01
20,3,1.15421176,-3.088023,2.02916824e-01
21,3,1.18458576,-3.097704,2.03865018e-01
22,3,1.21495976,-3.126067,2.06669424e-01
23,3,1.24533376,-3.171205,2.11221322e-01
24,3,1.27570776,-3.230427,2.17371723e-01
25,3,1.30608176,-3.300545,2.24960226e-01
26,3,1.33645576,-3.378349,2.33843242e-01
27,3,1.36682976,-3.460868,2.43949304e-01
28,3,1.39720381,-3.545310,2.55116384e-01
29,3,1.42757781,-3.629326,2.67306707e-01
30,3,1.45795159,-3.710911,2.80510610e-01
31,3,1.48832560,-3.788257,2.94656983e-01
32,3,1.51869960,-3.859926,3.09762634e-01
33,3,1.54907361,-3.924565,3.25743743e-01
34,3,1.57944761,-3.981093,3.42584747e-01
35,3,1.60982162,-4.028638,3.60217116e-01
36,3,1.64019563,-4.066409,3.78573370e-01
37,3,1.67056963,-4.093817,3.97557294e-01
38,3,1.70094364,-4.110419,4.17027873e-01
39,3,1.73131764,-4.115970,4.36994346e-01
40,3,1.73131764,-4.115970,4.36994199e-01
41,3,1.75279515,-4.065517,5.48787470e-01
42,3,1.77427297,-4.006250,5.56628034e-01
43,3,1.79575048,-3.938490,5.64241049e-01
44,3,1.81722830,-3.862762,5.71669945e-01
45,3,1.83870581,-3.779723,5.78994782e-01
46,3,1.86018364,-3.690187,5.86325384e-01
47,3,1.88166114,-3.595116,5.93795738e-01
48,3,1.90313897,-3.495610,6.01551246e-01
49,3,1.92461647,-3.393066,6.09742551e-01
50,3,1.94609430,-3.289015,6.18512655e-01
51,3,1.96757180,-3.185156,6.27918965e-01
52,3,1.98904963,-3.083567,6.37988356e-01
53,3,2.01052713,-2.986564,6.48629218e-01
54,3,2.03200496,-2.896860,6.59536865e-01
55,3,2.05348246,-2.817356,6.70238381e-01
56,3,2.07496029,-2.750976,6.80029124e-01
57,3,2.09643779,-2.700999,6.87995559e-01
58,3,2.11791562,-2.669834,6.93243250e-01
59,3,2.13939312,-2.659237,6.95075161e-01
60,3,2.13939312,-2.659237,6.95075161e-01
61,3,2.20382612,-2.519168,6.57597368e-01
62,3,2.26825912,-2.362696,6.16069287e-01
63,3,2.33269211,-2.191907,5.71014212e-01
64,3,2.39712495,-2.009155,5.22933375e-01
65,3,2.46155794,-1.817763,4.72593518e-01
66,3,2.52599094,-1.621230,4.20622867e-01
67,3,2.59042394,-1.423757,3.67803262e-01
68,3,2.65485693,-1.229855,3.15033923e-01
69,3,2.71928993,-1.044774,2.63401620e-01
70,3,2.78372276,-0.873833,2.14059141e-01
71,3,2.84815576,-0.720502,1.68302404e-01
72,3,2.91258876,-0.588153,1.27240784e-01
73,3,2.97702175,-0.478361,9.17435336e-02
74,3,3.04145475,-0.390914,6.22867545e-02
75,3,3.10588775,-0.324440,3.89342652e-02
76,3,3.17032058,-0.276357,2.14331956e-02
77,3,3.23475363,-0.244265,9.36740189e-03
78,3,3.29918661,-0.225970,2.32302178e-03
79,3,3.36361957,-0.221237,1.52586620e-05
80,3,3.36361957,-0.221237,1.71133488e-05
81,3,3.41622887,-0.236100,7.03531216e-03
82,3,3.46883817,-0.282174,1.18775265e-02
83,3,3.52144747,-0.352540,6.03331105e-02
84,3,3.57405686,-0.440122,1.11190593e-01
85,3,3.62666598,-0.538050,1.23399784e-01
86,3,3.67927530,-0.640874,1.28322738e-01
